Clump_Name,idx_cores,Ipeak_DCOp_pb,err_Ipeak_DCOp_pb,vlsr_DCOp,err_vlsr_DCOp,sig_DCOp,err_sig_DCOp,sig_nth_DCOp,err_sig_nth_DCOp,Mach_DCOp,err_Mach_DCOp,Ipeak_N2Dp_pb,err_Ipeak_N2Dp_pb,vlsr_N2Dp,err_vlsr_N2Dp,sig_N2Dp,err_sig_N2Dp,sig_nth_N2Dp,err_sig_nth_N2Dp,Mach_N2Dp,err_Mach_N2Dp
,,K,K,km/s,km/s,km/s,km/s,km/s,km/s,,,K,K,km/s,km/s,km/s,km/s,km/s,km/s,,
G343.48,9,0.52,0.05,-29.04,0.03,0.25,0.03,0.23,0.03,0.91,0.13,,,,,,,,,,
G343.48,10,0.65,0.04,-28.42,0.02,0.3,0.02,0.29,0.02,1.09,0.11,,,,,,,,,,
G343.48,11,,,,,,,,,,,,,,,,,,,,
G343.48,12,0.19,0.02,-28.68,0.08,0.57,0.08,0.57,0.09,3.2,0.62,,,,,,,,,,
G343.48,13,,,,,,,,,,,,,,,,,,,,
G343.48,14,0.58,0.09,-28.37,0.04,0.19,0.04,0.17,0.04,1.07,0.26,,,,,,,,,,
G343.48,15,,,,,,,,,,,,,,,,,,,,
G343.48,16,,,,,,,,,,,,,,,,,,,,
G343.48,17,0.36,0.05,-28.94,0.03,0.21,0.03,0.19,0.04,0.83,0.17,,,,,,,,,,
G343.48,18,0.27,0.06,-28.51,0.04,0.12,0.03,0.07,0.05,0.36,0.26,,,,,,,,,,
G343.48,19,,,,,,,,,,,,,,,,,,,,
G343.48,20,0.47,0.06,-28.2,0.03,0.18,0.03,0.15,0.03,0.82,0.19,,,,,,,,,,
