Clump_Name,idx_cores,Mgas,radius_pc,Ncol_H2_peak,surface_col,T_nh3,sig_tot_deu,Mvir,alpha_vir,a_G,a_K,Proto_pre
,,Msun,pc,1E+23 cm^-2,g * cm^-2,K,km/s,Msun,,pc Myr^-2,pc Myr^-2,
G332.96,19,0.34,0.01,0.21,0.21,12.6,,,,2.89,,0
G332.96,20,0.54,0.015,0.18,0.17,12.6,,,,2.24,,0
G340.17,1,0.79,0.013,0.33,0.31,17.7,,,,4.23,,0
G340.17,2,1.1,0.018,0.3,0.22,16.7,,,,2.96,,0
G340.17,3,0.73,0.021,0.16,0.11,19.1,,,,1.42,,0
G340.17,4,1.92,0.03,0.18,0.14,18,0.48,5.49,2.86,1.93,7.99,0
G340.17,5,0.35,0.01,0.2,0.22,15.6,,,,2.95,,0
G340.17,6,0.98,0.019,0.2,0.18,14.1,,,,2.48,,0
G340.17,7,0.67,0.02,0.15,0.11,17.7,,,,1.49,,0
G340.17,8,1.12,0.028,0.13,0.09,18.2,,,,1.27,,0
G340.17,9,0.61,0.016,0.15,0.15,16.7,,,,2.05,,0
G340.17,10,0.52,0.017,0.15,0.12,16.1,,,,1.66,,2
G340.17,11,0.49,0.015,0.13,0.14,17.9,,,,1.89,,2
G340.17,12,0.19,0.01,0.1,0.12,18,,,,1.65,,0
G340.17,13,0.65,0.025,0.1,0.07,17.7,,,,0.96,,0
G340.17,14,0.33,0.016,0.09,0.09,19.3,,,,1.18,,0
G340.17,15,0.16,0.012,0.09,0.07,17.7,,,,0.95,,0
G340.17,16,0.22,0.016,0.06,0.06,20.9,,,,0.75,,0
G340.22,1,8.81,0.034,0.87,0.49,14.6,0.33,2.61,0.3,6.67,3.35,0
G340.22,2,3.75,0.021,0.72,0.54,15.4,0.36,1.97,0.53,7.34,6.4,0
G340.22,3,0.99,0.013,0.61,0.4,14.6,0.39,1.57,1.59,5.38,12.35,0
G340.22,4,4.13,0.03,0.45,0.3,14.6,0.46,4.56,1.1,4.11,7.33,0
G340.22,5,1.95,0.018,0.34,0.4,16.1,,,,5.4,,0
G340.22,6,0.31,0.008,0.33,0.35,14.6,,,,4.7,,0
G340.22,7,1.01,0.014,0.31,0.34,14.6,,,,4.57,,0
G340.22,8,1.69,0.019,0.33,0.3,13.6,,,,4.09,,0
G340.22,9,1.99,0.018,0.41,0.39,11.7,0.35,1.71,0.86,5.29,7.13,0
G340.22,10,1.05,0.016,0.27,0.28,15.1,,,,3.75,,0
G340.22,11,2.98,0.028,0.28,0.26,14.5,,,,3.45,,0
G340.22,12,0.65,0.016,0.22,0.17,16.3,,,,2.23,,0
G340.22,13,0.5,0.012,0.2,0.23,18.3,,,,3.17,,0
G340.22,14,1.81,0.025,0.24,0.19,14.6,,,,2.57,,0
G340.22,15,1.08,0.022,0.25,0.15,14.6,,,,2.07,,0
G340.22,16,0.58,0.012,0.25,0.25,14.4,,,,3.36,,0
G340.22,17,0.62,0.017,0.25,0.15,14.1,,,,1.98,,0
G340.22,18,4.32,0.033,0.39,0.26,10.1,0.44,4.68,1.08,3.48,6.15,0
G340.22,19,0.79,0.018,0.17,0.17,15.3,,,,2.26,,0
G340.22,20,0.68,0.016,0.17,0.18,15.1,,,,2.41,,0
G340.22,21,0.88,0.027,0.18,0.08,14.6,,,,1.12,,0
G340.23,1,31.66,0.047,1.31,0.96,13.6,0.48,8.13,0.26,12.93,5.24,3
G340.23,2,6.35,0.026,1.14,0.65,15.4,,,,8.78,,3
G340.23,3,1.07,0.009,0.74,0.79,15.3,,,,10.67,,2
G340.23,4,1.09,0.012,0.44,0.49,15.2,0.41,1.65,1.51,6.61,14.75,0
G340.23,5,2.97,0.024,0.44,0.36,14.9,0.43,3.67,1.24,4.82,8.3,0
G340.23,6,0.66,0.01,0.35,0.42,16.6,,,,5.71,,0
G340.23,7,1.36,0.019,0.36,0.25,15.8,,,,3.33,,0
G340.23,8,0.75,0.013,0.39,0.32,14.1,,,,4.28,,0
G340.23,9,1.28,0.015,0.34,0.37,15.5,0.55,3.09,2.41,4.99,20.96,2
G340.23,10,1.62,0.017,0.37,0.39,14.6,0.41,2.2,1.35,5.24,10.45,0
G340.23,11,0.7,0.013,0.25,0.3,17.2,0.41,1.76,2.49,4.01,14.07,2
G340.23,12,0.69,0.012,0.26,0.3,16,,,,4.09,,0
G340.23,13,0.83,0.018,0.21,0.18,18.7,,,,2.43,,0
G340.23,14,1.06,0.016,0.25,0.27,16.2,,,,3.66,,0
G340.23,15,0.37,0.01,0.2,0.23,15.8,,,,3.1,,0
