Clump_Name,cores,N_H2,n_H2,T_nh3, I_C18O ,err_ I_C18O ,vlsr_C18O,err_vlsr_C18O,sig_C18O,err_sig_C18O,N_C18O,err_N_C18O, I_DCOp ,err_ I_DCOp ,vlsr_DCOp,err_vlsr_DCOp,sig_DCOp,err_sig_DCOp,N_DCOp,err_N_DCOp, I_N2Dp ,err_ I_N2Dp ,vlsr_N2Dp,err_vlsr_N2Dp,sig_N2Dp,err_sig_N2Dp,N_N2Dp,err_N_N2Dp, I_H2CO ,err_ I_H2CO ,vlsr_H2CO,err_vlsr_H2CO,sig_H2CO,err_sig_H2CO,N_H2CO,err_N_H2CO, I_CH3OH ,err_ I_CH3OH ,vlsr_CH3OH,err_vlsr_CH3OH,sig_CH3OH,err_sig_CH3OH,N_CH3OH,err_N_CH3OH, I_smoothSiO ,err_ I_smoothSiO ,vlsr_smoothSiO,err_vlsr_smoothSiO,sig_smoothSiO,err_sig_smoothSiO,N_smoothSiO,err_N_smoothSiO, I_CCD ,err_ I_CCD ,vlsr_CCD,err_vlsr_CCD,sig_CCD,err_sig_CCD,N_CCD,err_N_CCD, I_DCN ,err_ I_DCN ,vlsr_DCN,err_vlsr_DCN,sig_DCN,err_sig_DCN,N_DCN,err_N_DCN, I_13CS,err_ I_13CS,vlsr_13CS,err_vlsr_13CS,sig_13CS,err_sig_13CS,N_13CS,err_N_13CS
,,cm^-2,cm^-3,K,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,K,K,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2
,,1.00E+22,1.00E+06,,,,,,,,1.00E+14,1.00E+14,,,,,,,1.00E+11,1.00E+11,,,,,,,1.00E+11,1.00E+11,,,,,,,1.00E+13,1.00E+13,,,,,,,1.00E+13,1.00E+13,,,,,,,1.00E+12,1.00E+12,,,,,,,1.00E+12,1.00E+12,,,,,,,1.00E+12,,,,,,,,1.00E+12,1.00E+12
G332.96,20,1.32,0.56,12.6,0.67,0.05,-66.6,0.08,0.91,0.08,9.11,1.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.17,1,2.1,1.19,17.7,0.98,0.13,-53.25,0.1,0.68,0.1,9.67,1.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.17,2,1.77,0.59,16.7,0.88,0.14,-53.34,0.07,0.48,0.1,6.11,1.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.17,3,0.89,0.24,19.1,1.96,0.07,-53.12,0.02,0.57,0.02,15.81,1.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.17,4,1.11,0.24,18,0.33,0.05,-53.62,0.1,0.55,0.09,2.59,0.58,-,-,-,-,-,-,-,-,0.14,0.01,-54.35,0.14,0.42,0.22,1.91,1.01,0.17,0.02,-53.91,0.11,0.9,0.11,0.16,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.17,5,1.44,1.04,15.6,1.18,0.08,-52.79,0.07,1.01,0.07,17.1,1.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.17,6,1.39,0.48,14.1,0.18,0.03,-47.91,0.27,1.5,0.27,3.89,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.17,7,0.96,0.27,17.7,0.32,-,-53,-,1.32,0.13,5.92,0.66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.16,0.03,-53.56,0.12,0.52,0.11,0.09,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.17,8,0.81,0.16,18.2,1.73,0.11,-57.48,0.06,0.8,0.06,19.54,2.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.17,9,1.03,0.46,16.7,1.29,0.05,-53.18,0.04,0.75,0.04,13.77,1.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.17,10,0.98,0.36,16.1,0.42,0.04,-54.36,0.1,0.96,0.1,5.66,0.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.24,0.02,-53.97,0.1,0.98,0.1,0.24,0.05,0.15,0.02,-54.48,0.16,0.99,0.16,0.46,0.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.17,11,0.95,0.45,17.9,0.91,0.04,-53.47,0.14,2.93,0.14,37.91,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.02,-54.84,0.21,0.9,0.21,0.24,0.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.17,12,0.85,0.59,18,0.67,0.04,-51.24,0.13,1.91,0.13,18.03,1.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.17,13,0.79,0.14,17.7,0.52,0.03,-52.85,0.1,1.33,0.1,9.69,1.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.17,14,0.68,0.27,19.3,1.66,0.05,-52.97,0.02,0.64,0.02,15.11,1.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.17,15,0.69,0.28,17.7,1.83,0.06,-51.64,0.03,0.86,0.03,22.29,1.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.22,0.03,-54.71,0.08,0.54,0.07,0.13,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.17,16,0.5,0.17,20.9,1.06,0.03,-50.49,0.05,1.57,0.05,23.87,1.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.22,1,4.14,0.71,14.6,0.93,0.03,-51.98,0.1,2.39,0.1,33.07,2.49,0.49,0.08,-52.38,0.05,0.26,0.05,2.02,0.51,-,-,-,-,-,-,-,-,0.27,0.03,-52.9,0.11,0.84,0.11,0.23,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.22,2,3.43,1.25,15.4,1,0.07,-53.21,0.07,0.83,0.07,12.28,1.51,0.19,0.02,-52.43,0.04,0.29,0.04,0.87,0.15,-,-,-,-,-,-,-,-,0.12,0.01,-52.86,0.08,0.7,0.08,0.09,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.22,3,2.9,1.53,14.6,1.92,0.06,-52.01,0.05,1.2,0.05,33.86,2.39,0.44,0.07,-52.13,0.06,0.33,0.06,2.3,0.56,-,-,-,-,-,-,-,-,0.34,0.03,-51.97,0.09,0.88,0.09,0.3,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.22,4,3.19,0.5,14.6,1.66,0.1,-52.55,0.04,0.57,0.04,13.89,1.41,0.45,0.07,-52.26,0.07,0.41,0.07,2.95,0.68,-,-,-,-,-,-,-,-,0.22,0.04,-52.3,0.1,0.44,0.1,0.1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.22,5,2.36,1.1,16.1,1.7,0.07,-52.06,0.07,1.33,0.07,32.73,2.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.22,6,1.79,2.22,14.6,1.53,0.05,-52.43,0.04,1.12,0.04,24.67,1.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.13,0.02,-53.37,0.08,0.56,0.08,0.07,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.22,7,1.97,1.18,14.6,0.42,0.04,-45,0.2,1.63,0.2,9.86,1.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.22,8,2.55,0.78,13.6,2.09,0.08,-51.57,0.04,0.87,0.04,26.82,2.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.22,9,2.56,1.06,11.7,2.4,0.09,-51.38,0.03,0.68,0.03,25.22,1.85,0.24,0.03,-51.34,0.05,0.31,0.05,1.34,0.3,-,-,-,-,-,-,-,-,0.14,0.02,-51.43,0.1,0.48,0.08,0.07,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.22,10,2.27,0.87,15.1,1.44,0.13,-51.76,0.07,0.68,0.07,14.14,2.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.22,11,2.32,0.45,14.5,1.72,0.08,-51.57,0.05,0.8,0.05,19.92,1.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.22,12,1.85,0.51,16.3,0.77,0.03,-44.13,0.08,2.02,0.08,22.2,1.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.22,13,1.27,0.97,18.3,2.02,0.07,-51.39,0.03,0.92,0.03,26.55,1.84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11,0.02,-51.05,0.21,1.34,0.21,0.16,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.22,14,1.58,0.37,14.6,2.25,0.04,-52.56,0.03,1.14,0.03,36.87,2.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11,0.02,-52.29,0.28,1.44,0.28,0.16,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.22,15,1.73,0.35,14.6,1.64,0.07,-52.49,0.03,0.63,0.03,14.9,1.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.15,0.03,-52.31,0.16,0.76,0.16,0.12,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.22,16,1.73,0.99,14.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.22,17,1.49,0.43,14.1,0.99,0.08,-52.76,0.08,0.86,0.08,12.2,1.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.22,18,2.7,0.38,10.1,0.83,0.03,-51.86,0.09,1.98,0.09,27.45,2.07,0.28,0.04,-52.04,0.07,0.41,0.07,2.46,0.53,-,-,-,-,-,-,-,-,0.18,0.02,-52.38,0.07,0.5,0.08,0.1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.22,19,1.33,0.46,15.3,1.57,0.07,-46.84,0.03,0.61,0.03,13.78,1.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.22,20,1.3,0.55,15.1,0.73,0.04,-44.01,0.04,0.66,0.04,6.94,0.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.22,21,1.27,0.15,14.6,1.57,0.06,-50.89,0.03,0.59,0.03,13.3,0.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.23,1,6.66,1.01,13.6,1.46,0.03,-49.55,0.03,1.15,0.03,26.22,1.51,-,-,-,-,-,-,-,-,0.26,0.03,-50.46,0.04,0.44,0.08,2.92,0.65,0.27,0.01,-50.93,0.05,1.92,0.05,0.53,0.08,0.1,0.01,-51.31,0.13,2.01,0.13,0.8,0.14,0.04,0,-52.56,0.51,3.5,0.51,0.63,0.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.23,2,4.6,1.26,15.4,2.18,0.03,-51.1,0.02,1.31,0.02,43.27,2.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.34,0.01,-51.51,0.09,1.92,0.09,0.67,0.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.26,0.06,-50.95,0.05,0.19,0.05,0.27,0.09,-,-,-,-,-,-,-,-
G340.23,3,4.86,4.11,15.3,1.81,0.04,-49.81,0.04,1.36,0.04,37.35,2.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.61,0.02,-51.3,0.07,1.72,0.07,1.06,0.17,0.1,0.02,-52.1,0.42,2.17,0.42,0.76,0.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.23,4,3.51,1.98,15.2,4.73,0.06,-50.96,0.01,0.79,0.01,55.57,2.89,0.74,0.07,-51.05,0.04,0.36,0.04,4.15,0.65,-,-,-,-,-,-,-,-,0.41,0.03,-50.91,0.07,0.74,0.07,0.31,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.23,5,3.55,0.75,14.9,1.29,0.06,-49.46,0.03,0.65,0.03,12.6,1.05,0.25,0.04,-49.68,0.07,0.38,0.07,1.47,0.35,-,-,-,-,-,-,-,-,0.17,0.02,-49.63,0.09,0.71,0.09,0.12,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.23,6,2.93,2.05,16.6,3.31,0.06,-51.27,0.02,0.94,0.02,45.76,2.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.44,0.03,-51.27,0.07,0.78,0.07,0.35,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.23,7,2.68,0.63,15.8,2.19,0.08,-50.95,0.04,0.98,0.04,31.53,2.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.23,8,2.01,1.25,14.1,1.26,0.04,-51.11,0.04,1.3,0.04,24.04,1.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.23,9,2.98,1.2,15.5,1.3,0.05,-49.51,0.03,0.83,0.03,15.86,1.15,0.19,0.03,-50.38,0.09,0.51,0.09,1.5,0.35,-,-,-,-,-,-,-,-,0.15,0.02,-50.39,0.16,1.02,0.16,0.15,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.23,10,2.49,1.15,14.6,1.22,0.04,-50.64,0.05,1.42,0.05,25.42,1.7,0.28,0.04,-50.7,0.05,0.35,0.05,1.59,0.33,-,-,-,-,-,-,-,-,0.17,0.03,-51.06,0.08,0.5,0.1,0.09,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.23,11,1.94,1.17,17.2,2.84,0.06,-50.82,0.02,1.02,0.02,41.93,2.38,0.24,0.05,-51.13,0.08,0.34,0.08,1.24,0.38,-,-,-,-,-,-,-,-,0.36,0.03,-50.99,0.07,0.65,0.07,0.24,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.23,12,2.06,1.21,16,0.69,0.07,-49.64,0.06,0.49,0.05,4.83,0.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.23,13,1.42,0.51,18.7,1.1,0.07,-49.41,0.04,0.61,0.04,9.63,1.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.23,14,1.93,0.83,16.2,0.87,0.07,-49.38,0.08,0.85,0.08,10.74,1.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.23,15,1.53,1.1,15.8,1.52,0.14,-50.22,0.07,0.67,0.07,14.48,2.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.35,0.04,-49.47,0.08,0.62,0.08,0.22,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G340.23,16,1.34,0.81,15.8,0.34,0.04,-49.83,0.32,2.49,0.32,12.07,2.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G341.03,1,9.87,5.47,9.3,1.84,0.04,-43.46,0.02,0.85,0.02,29.71,1.73,0.43,0.05,-43.54,0.04,0.29,0.04,2.9,0.54,-,-,-,-,-,-,-,-,0.59,0.02,-44.81,0.08,2.37,0.08,1.65,0.26,0.18,0.02,-45.8,0.22,2.16,0.22,4.24,0.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G341.03,2,6.26,3.91,11.5,0.62,0.03,-43.16,0.04,0.83,0.04,8.38,0.66,0.85,0.05,-42.9,0.01,0.19,0.01,3,0.29,0.33,0.03,-42.96,0.04,0.15,0.06,1.93,0.86,0.26,0.03,-42.91,0.05,0.4,0.06,0.11,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G341.03,3,5.07,3.42,14.4,2.87,0.02,-43.48,0.01,0.91,0.01,40.05,2.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.42,0.01,-42.95,0.04,0.91,0.04,0.39,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G341.03,4,4.65,1.52,11,1.64,0.02,-43.57,0.02,0.92,0.02,24.89,1.33,0.26,0.03,-43.63,0.04,0.27,0.04,1.41,0.28,-,-,-,-,-,-,-,-,0.31,0.01,-43.6,0.05,0.85,0.05,0.28,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G341.03,5,6.07,2.25,11.4,1.28,0.02,-43.75,0.02,0.85,0.02,17.74,0.98,0.24,0.02,-43.25,0.03,0.31,0.03,1.37,0.21,0.2,0.02,-43.3,0.05,0.24,0.12,1.65,0.84,0.12,0.01,-43.51,0.06,0.58,0.07,0.08,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G341.03,6,3.65,0.91,13.4,1.44,0.02,-43.09,0.01,0.7,0.01,15.3,0.8,0.4,0.02,-43.81,0.02,0.26,0.02,1.7,0.16,0.15,0.02,-43.82,0.04,0.15,0.07,0.79,0.39,0.19,0.01,-42.67,0.04,0.89,0.04,0.17,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G341.03,7,5.26,5.48,13.9,2.84,0.03,-43.39,0.01,0.86,0.01,37.58,1.93,0.55,0.06,-42.89,0.02,0.18,0.02,1.62,0.27,0.21,0.02,-42.81,0.08,0.25,0.18,1.69,1.22,0.36,0.03,-42.64,0.04,0.48,0.04,0.17,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G341.03,8,4.26,5.15,14.6,3.12,0.03,-43.45,0.01,0.77,0.01,36.36,1.84,0.28,0.06,-43.04,0.05,0.19,0.05,0.86,0.27,-,-,-,-,-,-,-,-,0.34,0.03,-42.83,0.03,0.45,0.05,0.16,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G341.03,9,3.41,2.05,12.8,1.22,0.04,-43.75,0.04,1.07,0.04,19.88,1.31,0.31,0.05,-43.4,0.03,0.17,0.03,0.9,0.21,-,-,-,-,-,-,-,-,0.31,0.02,-43.26,0.03,0.5,0.03,0.16,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G341.03,10,1.66,1.25,20.8,2.47,0.07,-43.1,0.02,0.57,0.02,20.92,1.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.45,0.08,-42.13,0.08,0.37,0.08,1.53,0.45
